iter	Passed	Remaining
408	5038	1121
409	5050	1108
410	5062	1096
411	5074	1083
412	5086	1071
413	5098	1059
414	5109	1046
415	5122	1034
416	5134	1021
417	5146	1009
418	5158	997
419	5171	985
420	5183	972
421	5195	960
422	5207	947
423	5219	935
424	5230	923
425	5242	910
426	5255	898
427	5267	886
428	5280	873
429	5291	861
430	5304	849
431	5316	836
432	5329	824
433	5341	812
434	5353	799
435	5365	787
436	5376	775
437	5388	762
438	5399	750
439	5411	737
440	5423	725
441	5435	713
442	5447	700
443	5459	688
444	5471	676
445	5483	663
446	5495	651
447	5507	639
448	5519	626
449	5531	614
450	5546	602
451	5558	590
452	5570	577
453	5583	565
454	5595	553
455	5608	541
456	5620	528
457	5632	516
458	5645	504
459	5656	491
460	5668	479
461	5680	467
462	5692	454
463	5704	442
464	5716	430
465	5729	418
466	5740	405
467	5753	393
468	5766	381
469	5778	368
470	5789	356
471	5801	344
472	5813	331
473	5825	319
474	5837	307
475	5849	294
476	5862	282
477	5874	270
478	5887	258
479	5899	245
480	5911	233
481	5923	221
482	5935	208
483	5948	196
484	5961	184
485	5974	172
486	5986	159
487	5998	147
488	6010	135
489	6022	122
490	6035	110
491	6047	98
492	6060	86
493	6071	73
494	6083	61
495	6095	49
496	6107	36
497	6120	24
498	6132	12
499	6145	0
