iter	F1	Logloss
0	0.4365419988	0.5642735326
1	0.4332810047	0.451374251
2	0.4127388535	0.3711304616
3	0.4157660521	0.3000726328
4	0.3316225819	0.2499705747
5	0.3380503145	0.2054768658
6	0.3316225819	0.1707096742
7	0.3347774714	0.1417784295
8	0.3354380426	0.1199733749
9	0.3563973715	0.1030786734
10	0.324	0.08931965046
11	0.3273596177	0.07827431236
12	0.3430369788	0.06927717799
13	0.3570324575	0.06218175142
14	0.3614643545	0.0562993196
15	0.3589347742	0.0515599414
16	0.3648233487	0.04751051282
17	0.364410058	0.04434500259
18	0.3705972435	0.04154841902
19	0.3673312883	0.03917642143
20	0.3684412103	0.0372081319
21	0.3717017208	0.03561327388
22	0.3759054518	0.03417645072
23	0.3721286371	0.03299511268
24	0.3755290496	0.03199153846
25	0.3718244804	0.03112484441
26	0.3758647194	0.03032114501
27	0.3772570111	0.02965109951
28	0.3802223074	0.02905296382
29	0.3802223074	0.02853666899
30	0.381463041	0.02810517506
31	0.3820826953	0.02768341599
32	0.3845565749	0.02730766723
33	0.3874904653	0.02692947862
34	0.3887195122	0.02664941286
35	0.3926940639	0.026399755
36	0.3920822231	0.02619907273
37	0.3905595737	0.02594077118
38	0.3933054393	0.02574481623
39	0.3919330289	0.02556115334
40	0.3945267959	0.02540524131
41	0.3987869598	0.02521909304
42	0.402268431	0.02507010997
43	0.412626832	0.02494335526
44	0.4124718257	0.0248211422
45	0.4127579737	0.02469957544
46	0.4141035259	0.02458822522
47	0.4186915888	0.0244762427
48	0.4164794007	0.02436552127
49	0.4226190476	0.02426002458
50	0.4251207729	0.02416935789
51	0.428041543	0.02406735545
52	0.4336904322	0.02397536462
53	0.4354243542	0.02388722536
54	0.4504373178	0.02380460858
55	0.449470996	0.02372146986
56	0.4500364697	0.02361510268
57	0.4504373178	0.02353073615
58	0.4515659141	0.02343181812
59	0.4538181818	0.02337692242
60	0.4588619065	0.02330756981
61	0.4588619065	0.02325825266
62	0.4589808457	0.02320707892
63	0.4630896651	0.02315425701
64	0.464362851	0.02310653023
65	0.4641957539	0.02305901188
66	0.4636951833	0.02300378341
67	0.4666188083	0.0229696378
68	0.4658318426	0.02291216915
69	0.4685714286	0.02285848725
70	0.4659985684	0.02281756332
71	0.4676439042	0.02276931985
72	0.4707560628	0.02272935399
73	0.4729344729	0.02265645983
74	0.4751066856	0.02257983671
75	0.4761904762	0.02254035602
76	0.476731794	0.0225005478
77	0.476731794	0.02245793717
78	0.4774742817	0.02241971932
79	0.4839506173	0.02238656507
80	0.4850193867	0.0223513563
81	0.4871524111	0.02230926762
82	0.4866197183	0.0222763831
83	0.4871524111	0.02224512923
84	0.48981026	0.02221389113
85	0.48981026	0.02218022018
86	0.4914004914	0.02215410523
87	0.4924587864	0.02212127851
88	0.4935155976	0.02208717144
89	0.4943977591	0.02205960274
90	0.5053875565	0.02202949786
91	0.5069444444	0.02199662385
92	0.5069444444	0.02197244957
93	0.5084980923	0.0219420592
94	0.512270999	0.02189415902
95	0.5127850726	0.02186739601
96	0.5138121547	0.02184171719
97	0.5148378192	0.02181874969
98	0.5151724138	0.02177974366
99	0.5177280551	0.02174843375
100	0.5170395869	0.02171507107
101	0.5185694635	0.02169500407
102	0.5199175824	0.02166974735
103	0.520754717	0.02164703908
104	0.5224545766	0.02161905177
105	0.5217689407	0.02159340623
106	0.5227817746	0.02157521334
107	0.5227817746	0.02155424606
108	0.5232876712	0.02153031174
109	0.5237932215	0.0215125217
110	0.5253077975	0.02145867341
111	0.5258119658	0.02143486869
112	0.5258119658	0.02140890612
113	0.5268192689	0.02133806648
114	0.5273224044	0.02131406034
115	0.5288297509	0.02129817243
116	0.537525355	0.02127180702
117	0.5385135135	0.02124156026
118	0.5385135135	0.0212199642
119	0.5385135135	0.02119812643
120	0.5390070922	0.02117807869
121	0.5409780776	0.02115524606
122	0.5399932501	0.02112674206
123	0.5354117248	0.02108846466
124	0.5372124493	0.0210639138
125	0.5377071356	0.02104102688
126	0.5395003376	0.02102062709
127	0.5393182585	0.02097160945
128	0.5403035413	0.0209522378
129	0.5409780776	0.02092484951
130	0.5487437186	0.02090953259
131	0.5497154335	0.02089315076
132	0.5511705686	0.02087553761
133	0.5511705686	0.02085704522
134	0.5516549649	0.02082761116
135	0.5516549649	0.0208176451
136	0.5519545606	0.02079939791
137	0.5519545606	0.02077155247
138	0.5538872206	0.02074282428
139	0.5538872206	0.02072131929
140	0.5543695797	0.02070408097
141	0.5548516172	0.02068890067
142	0.5553333333	0.02065636295
143	0.5558147284	0.02063003607
144	0.5558147284	0.02061547755
145	0.5558147284	0.02058760234
146	0.5567765568	0.02052213281
147	0.5572238906	0.02050350204
148	0.5570380254	0.0204807675
149	0.5570380254	0.02046104905
150	0.5562604341	0.02043600427
151	0.5589606929	0.0204081238
152	0.5575191731	0.02038961739
153	0.5575191731	0.02037469106
154	0.5575191731	0.02035724081
155	0.5573333333	0.02034211831
156	0.5589606929	0.02032886292
157	0.5589606929	0.0203124951
158	0.5602129075	0.02029078518
159	0.5598404255	0.02026874949
160	0.5593614899	0.02026104812
161	0.5603190429	0.02023746059
162	0.5607973422	0.02022161122
163	0.561461794	0.02020427657
164	0.5618573798	0.02018702073
165	0.5618573798	0.02017413841
166	0.5624378933	0.02015446374
167	0.5622516556	0.02013794354
168	0.5636784651	0.02011802542
169	0.5636784651	0.02010214627
170	0.5641534392	0.02009078075
171	0.5664127194	0.02006962606
172	0.5678358703	0.02004670586
173	0.5687830688	0.02003890115
174	0.5683096262	0.02000787148
